nameEnglish	marker	compulsory	level	highestNumberSuffix	nests	hasContent	printed	closed	occursIn	deprecated	description
No-break paragraph continuation	nb	No	Newline	None	No	Never	Yes	No	Canonical Text	No	"Indicates ""no-break"" with previous paragraph (regardless of previous paragraph type).
        Commonly used in cases where the previous paragraph spans the chapter boundary.
        No-break markup within poetry: Some translations have a publishing tradition of inserting a small
            amount of additional white-space at chapter boundaries.
        It is important in these texts to use the b marker within any specific poetic contexts where
            no visible break in the flow of the the text is intended at a particular chapter boundary."
Closure of an epistle/letter	cls	No	Newline	None	No	Always	Yes	No	Canonical Text	No	"Similar to ""With love,"" or ""Sincerely yours,""."
List header	lh	No	Newline	None	No	Always	Yes	No	Canonical Text	No	Some lists include an introductory and concluding remark (\lf). They are an integral part of the list content, but are not list items. A list does not require either or both of these elements.
List item	li	No	Newline	4	No	Sometimes	Yes	No	Canonical Text	No	An out-dented paragraph meant to highlight the items of a list. Lists may be used to markup the elements of a recurrent structure, such as the days within the creation account, or the Decalogue (10 commandments). The variable # represents the level of indent.
List footer	lf	No	Newline	None	No	Always	Yes	No	Canonical Text	No	Some lists include an introductory (\lh) and concluding remark. They are an integral part of the list content, but are not list items. A list does not require either or both of these elements.
Embedded list item	lim	No	Newline	4	No	Sometimes	Yes	No	Canonical Text	No	An out-dented paragraph meant to highlight the items of an embedded list. The variable # represents the level of indent.
List entry total	litl	No	Internal	None	No	Always	Yes	Always	Canonical Text	No	Use in “accounting” lists for denoting the total component of the text within a list item (\li). An alternative to using tables for the same content.
List entry “key” content	lik	No	Internal	None	No	Always	Yes	Always	Canonical Text	No	
List entry “value” content	liv	No	Internal	2	No	Always	Yes	Always	Canonical Text	No	
Centered paragraph	pc	No	Newline	None	No	Sometimes	Yes	No	Canonical Text	No	Recommended for inscriptions.
Right-aligned paragraph	pr	No	Newline	None	No	Sometimes	Yes	No	Canonical Text	Yes	"""Deprecated"" (i.e. use is strongly discouraged). Recommended alternate: \pmr."
Indented paragraph with hanging indent	ph	No	Newline	4	No	Sometimes	Yes	No	Canonical Text	Yes	"""Deprecated"" (i.e. use is strongly discouraged).
        The variable # represents the level of overall paragraph indent."
Blank line	b	No	Newline	None	No	Never	Yes	No	Text, Poetry	No	"May be used to explicitly indicate additional white space between paragraphs.
        No text should follow this marker, and it should not be used before or after titles to indicate white-space.
        Also use for stanza breaks in poetry, or between poetry and prose."
Poetic line	q	No	Newline	4	No	Sometimes	Yes	No	Canonical Text	No	The variable # represents the level of indent (i.e. \q1, \q2, \q3 etc.).
Right-aligned poetic line	qr	No	Newline	None	No	Always	Yes	No	Canonical Text	No	Common use: Poetic refrain.
Centered poetic line	qc	No	Newline	None	No	Always	Yes	No	Canonical Text	No	
Selah field	qs	No	Internal	None	No	Always	Yes	Always	Canonical Text	No	"Used for the expression ""Selah"" commonly found in Psalms and Habakkuk. This text is frequently right aligned, and rendered on the same line as the previous poetic text, if space allows."
Acrostic heading	qa	No	Newline	None	No	Always	Yes	No	Canonical Text	No	For example, the Aleph, Beth, etc. headings in Lamentations or Psalm 119.
Acrostic letter	qac	No	Internal	None	No	Always	Yes	Always	Acrostic verse	No	Marker to indicate the acrostic letter within a poetic line.
Embedded text poetic line	qm	No	Newline	4	No	Always	Yes	No	Canonical Text	No	The variable # represents the level of indent (i.e. \qm1, \qm2 etc.).
Hebrew note	qd	No	Newline	None	No	Always	Yes	No	Canonical Text	No	A Hebrew musical performance comment similar in content to many of the Hebrew Psalm titles (\d), but placed at the end of the poetic section.
Table row start	tr	No	Newline	None	No	Always	Yes	No	Text	No	The first \tr initiates a new table. Rows contain column headings or cells.
Table column heading	th	No	Internal	4	No	Always	Yes	No	Table row	No	The variable # represents the table column number.
Right-aligned table column heading	thr	No	Internal	4	No	Always	Yes	No	Table row	No	The variable # represents the table column number.
Table cell	tc	No	Internal	4	No	Always	Yes	No	Table row	No	The variable # represents the table column number. An empty table cell still requires a corresponding marker in the table text.
Right-aligned table cell	tcr	No	Internal	4	No	Always	Yes	No	Table row	No	The variable # represents the table column number. An empty table cell still requires a corresponding marker in the table text.
Footnote	f	No	Note	None	No	Always	Yes	Always	Text	No	Footnotes are entered inline within the main scripture body text. The boundaries of the footnote text are defined by an opening and closing marker.
Endnote	e	No	Note	None	No	Always	Yes	Always	Text	No	Endnotes are entered inline within the main scripture body text. The boundaries of the endnote text are defined by an opening and closing marker.
"Footnote ""origin"" reference"	fr	No	Note	None	No	Always	Yes	Optional	Footnote	No	This is the chapter and verse(s) that note refers to. Chapter and verse numbers must have a separator between them.
Footnote keyword	fk	No	Note	None	No	Always	Yes	Optional	Footnote	No	The specific keyword/term from the text for which the footnote is being provided.
Footnote translation quotation	fq	No	Note	None	No	Always	Yes	Optional	Footnote	No	"A quotation from the current scripture text translation for which the note is being provided. Longer quotations are sometimes shortened using an ellipsis (i.e. suspension dots ""…""). Many existing translation texts have marked both quotations from the existing translation text, as well as alternative translations, using \fq. An additional marker – \fqa – is provided for marking alternative translations, and can be used to distinguish between quotations and alternatives."
Footnote alternate translation	fqa	No	Note	None	No	Always	Yes	Optional	Footnote	No	Used to distinguish between a quotation of the current scripture text translation, and an alternate translation.
"Footnote ""label"" text"	fl	No	Note	None	No	Always	Yes	Optional	Footnote	No	"Can be used for marking or ""labeling"" a word or words which are used consistently across certain types of translation notes (such as the words ""Or"" in an alternative translation note, ""Others"", ""Heb."", ""LXX"" etc.)."
Footnote witness list	fw	No	Note	None	No	Always	Yes	Optional	Footnote	No	For distinguishing a list of sigla representing witnesses in critical editions. (Apparatus entries of printed critical editions are densely packed with information. One key part is the list of witnesses supporting a specific reading. The witnesses are usually represented by sigla consisting of one character, an abbreviation, or a number. It can be very helpful to distinguish witness lists from other footnote text, which can make it simpler to introduce checking tools for these lists, and to create linking and reader helps in digital representations.)
Footnote additional paragraph	fp	No	Note	None	No	Always	Yes	Optional	Footnote	No	Use this marker to if you need to indicate the start of a new paragraph within a footnote (uncommon in standard Bible notes).
Footnote verse number	fv	No	Note	None	No	Always	Yes	Optional	Footnote	No	To mark the location of a verse number in the the text quotation or alternative translation.
Footnote number	fn	No	Note	None	No	Always	Yes	Optional	Footnote	No	To mark the location of a sequential footnote number in the the text quotation or alternative translation.
Footnote text	ft	No	Note	None	No	Always	Yes	Optional	Footnote	No	The essential (explanatory) text of the footnote.
Deuterocanon footnote text	fdc	No	Note	None	No	Always	Yes	Always	Footnote	No	Text between these markers is material to be included only in published editions that contain the Deuterocanonical books.
